Requestor GPN,EmployeeStatusDesc,Country,Designation,Badge Type,Badge Status,Domain,Sub Domain,Key-Badge_SD,Badge Classification,Badge earned,Department,Initiate a badge date,Time Lapse
GPN 134,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/8/2020,SL 20,4/15/2020,23
GPN 1340,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/26/2020,SL 20,2/25/2020,122
GPN 13400,Active,Country 4,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,3/26/2020,SL 20,1/9/2020,77
GPN 13401,Active,Country 4,Rank 9,Bronze,Approved,Sector,Power & Utilities,Power & UtilitiesBronze,BUSINESS,4/22/2020,SL 20,3/27/2020,26
GPN 13402,Terminated,Country 1,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,11/29/2019,SL 26,3/11/2019,263
GPN 13403,Active,Country 4,Rank 14,Bronze,Approved,Transformative leadership,Inspiring,InspiringBronze,LEADERSHIP,5/21/2020,SL 24,3/11/2020,71
GPN 13404,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,12/6/2019,SL 20,5/21/2019,199
GPN 13405,Active,Country 3,Rank 8,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,5/12/2020,SL 26,3/27/2020,46
GPN 13406,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data platform,Data platformBronze,TECHNOLOGY,4/24/2020,SL 20,4/22/2020,2
GPN 13407,Active,Country 3,Rank 9,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,5/7/2020,SL 20,4/23/2020,14
GPN 13408,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/24/2020,SL 20,4/23/2020,1
GPN 13409,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,7/24/2018,SL 20,7/3/2018,21
GPN 1341,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/11/2020,SL 25,5/28/2019,349
GPN 13410,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,11/26/2019,SL 20,5/17/2019,193
GPN 13411,Active,Country 3,Rank 9,Silver,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceSilver,TECHNOLOGY,12/12/2019,SL 20,11/28/2019,14
GPN 13412,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,7/24/2018,SL 20,2/19/2018,155
GPN 13413,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,4/16/2018,SL 20,4/9/2018,7
GPN 13414,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/9/2019,SL 20,4/26/2019,13
GPN 13415,Active,Country 3,Rank 3,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/21/2019,SL 9,8/20/2018,274
GPN 13416,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/14/2020,SL 20,2/14/2020,90
GPN 13417,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,1/14/2020,SL 20,12/20/2019,25
GPN 13418,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/13/2018,SL 20,2/19/2018,22
GPN 13419,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,6/15/2020,SL 26,4/15/2020,61
GPN 1342,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/11/2020,SL 25,5/28/2019,349
GPN 13420,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/7/2019,SL 2,10/24/2018,195
GPN 13421,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,3/2/2020,SL 26,1/29/2020,33
GPN 13422,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,5/23/2019,SL 20,4/30/2019,23
GPN 13423,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,12/3/2019,SL 20,10/16/2019,48
GPN 13424,Active,Country 3,Rank 15,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,5/14/2019,SL 15,3/13/2019,62
GPN 13425,Terminated,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/3/2019,SL 20,3/12/2019,52
GPN 13426,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/11/2020,SL 26,1/2/2020,40
GPN 13427,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/2/2019,SL 26,2/13/2019,48
GPN 13428,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,7/6/2020,SL 2,6/12/2020,24
GPN 13429,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,6/29/2020,SL 20,4/13/2020,77
GPN 1343,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,11/16/2018,SL 2,11/12/2018,4
GPN 13430,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,6/15/2020,SL 20,5/5/2020,41
GPN 13431,Terminated,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,4/15/2019,SL 26,2/5/2019,69
GPN 13432,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,5/6/2020,SL 26,4/30/2020,6
GPN 13433,Active,Country 3,Rank 8,Bronze,Approved,Digital age teaming,Inclusive Intelligence,Inclusive IntelligenceBronze,LEADERSHIP,2/26/2020,SL 26,5/6/2019,296
GPN 13434,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,1/2/2020,SL 26,11/19/2019,44
GPN 13435,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,6/1/2020,SL 20,5/1/2020,31
GPN 13436,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,2/10/2020,SL 20,12/23/2019,49
GPN 13437,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,6/3/2020,SL 20,4/21/2020,43
GPN 13438,Active,Country 3,Rank 14,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,6/23/2020,SL 21,3/2/2020,113
GPN 13439,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/20/2018,SL 20,6/18/2018,2
GPN 1344,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,12/10/2019,SL 20,11/19/2019,21
GPN 13440,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,3/29/2019,SL 20,3/25/2019,4
GPN 13441,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/3/2020,SL 20,1/25/2020,9
GPN 13442,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/27/2019,SL 26,3/25/2019,2
GPN 13443,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/18/2020,SL 20,5/2/2020,16
GPN 13444,Active,Country 3,Rank 6,Platinum,Approved,Emerging Technology,Robotic process automation,Robotic process automationPlatinum,TECHNOLOGY,6/11/2020,SL 3,9/19/2019,266
GPN 13445,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/10/2019,SL 15,1/9/2019,1
GPN 13446,Active,Country 3,Rank 14,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,5/15/2020,SL 6,5/12/2020,3
GPN 13447,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,5/13/2020,SL 20,5/9/2020,4
GPN 13448,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/25/2019,SL 26,2/25/2019,0
GPN 13449,Active,Country 3,Rank 9,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,3/24/2020,SL 26,2/7/2020,46
GPN 1345,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/7/2020,SL 20,1/17/2020,81
GPN 13450,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/21/2020,SL 9,1/21/2020,0
GPN 13451,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,10/26/2018,SL 26,6/1/2018,147
GPN 13452,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,2/25/2020,SL 26,5/22/2019,279
GPN 13453,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,9/25/2018,SL 20,7/18/2018,69
GPN 13454,Active,Country 3,Rank 8,Bronze,Approved,Sector,WAM - Wealth management,WAM - Wealth managementBronze,BUSINESS,11/13/2019,SL 20,1/17/2019,300
GPN 13455,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,5/30/2019,SL 20,5/29/2019,1
GPN 13456,Active,Country 3,Rank 8,Gold,Approved,Digital,Digital,DigitalGold,BUSINESS,6/24/2020,SL 20,4/27/2020,58
GPN 13457,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/24/2020,SL 26,4/7/2020,17
GPN 13458,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/15/2020,SL 26,4/13/2020,63
GPN 13459,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,7/1/2019,SL 20,5/30/2019,32
GPN 1346,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,5/28/2020,SL 20,5/19/2020,9
GPN 13460,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/12/2019,SL 20,5/31/2019,12
GPN 13461,Active,Country 3,Rank 8,Gold,Approved,Digital,Digital,DigitalGold,BUSINESS,4/3/2020,SL 20,1/2/2020,92
GPN 13462,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/12/2019,SL 15,7/11/2018,275
GPN 13463,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data platform,Data platformBronze,TECHNOLOGY,5/5/2020,SL 20,5/1/2020,4
GPN 13464,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/5/2020,SL 26,12/17/2019,79
GPN 13465,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,3/5/2020,SL 26,1/22/2020,43
GPN 13466,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,4/16/2020,SL 20,4/16/2020,0
GPN 13467,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/24/2020,SL 20,4/24/2020,0
GPN 13468,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/30/2019,SL 25,10/3/2018,239
GPN 13469,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,7/1/2020,SL 26,7/1/2020,0
GPN 1347,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/15/2020,SL 20,5/8/2020,7
GPN 13470,Active,Country 3,Rank 12,Bronze,Approved,Digital age teaming,Inclusive Intelligence,Inclusive IntelligenceBronze,LEADERSHIP,3/6/2019,SL 24,2/15/2019,19
GPN 13471,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,1/6/2020,SL 26,4/23/2019,258
GPN 13472,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,6/25/2019,SL 20,2/18/2019,127
GPN 13473,Active,Country 3,Rank 9,Bronze,Approved,Sector,Power & Utilities,Power & UtilitiesBronze,BUSINESS,4/11/2020,SL 20,2/27/2020,44
GPN 13474,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/14/2019,SL 26,12/13/2018,91
GPN 13475,Active,Country 3,Rank 8,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,1/6/2020,SL 20,12/10/2019,27
GPN 13476,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/30/2020,SL 26,5/16/2019,350
GPN 13477,Active,Country 3,Rank 9,Silver,Approved,Analytics,Data integration,Data integrationSilver,TECHNOLOGY,6/30/2020,SL 20,7/19/2018,712
GPN 13478,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/21/2018,SL 20,2/20/2018,29
GPN 13479,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/21/2018,SL 20,2/20/2018,29
GPN 1348,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/31/2019,SL 20,3/28/2019,64
GPN 13480,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Information strategy,Information strategyBronze,TECHNOLOGY,6/1/2020,SL 20,5/14/2020,18
GPN 13481,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,6/1/2020,SL 20,5/18/2020,14
GPN 13482,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/9/2018,SL 20,3/23/2018,47
GPN 13483,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,11/14/2018,SL 20,11/7/2018,7
GPN 13484,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/26/2019,SL 20,1/23/2019,34
GPN 13485,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/14/2020,SL 26,3/24/2019,387
GPN 13486,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,3/23/2020,SL 20,2/26/2019,391
GPN 13487,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/23/2019,SL 26,4/25/2019,28
GPN 13488,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/7/2020,SL 26,4/6/2020,1
GPN 13489,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/6/2020,SL 20,11/15/2019,52
GPN 1349,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/13/2020,SL 20,3/5/2020,8
GPN 13490,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/22/2020,SL 26,11/6/2019,198
GPN 13491,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/28/2019,SL 3,5/16/2019,12
GPN 13492,Active,Country 3,Rank 1,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,5/13/2020,SL 15,1/21/2020,113
GPN 13493,Active,Country 3,Rank 9,Bronze,Approved,Transformative leadership,Wellbeing,WellbeingBronze,LEADERSHIP,6/30/2020,SL 26,6/17/2020,13
GPN 13494,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,2/9/2020,SL 26,11/27/2019,74
GPN 13495,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,9/24/2019,SL 20,8/23/2019,32
GPN 13496,Active,Country 3,Rank 14,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,4/9/2019,SL 7,1/30/2019,69
GPN 13497,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,2/26/2019,SL 2,1/8/2019,49
GPN 13498,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/23/2020,SL 9,1/23/2020,60
GPN 13499,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/25/2019,SL 15,6/3/2019,22
GPN 135,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,2/10/2020,SL 20,11/26/2019,76
GPN 1350,Active,Country 3,Rank 8,Bronze,Approved,Sector,BCM - Corporate & Commercial Banking,BCM - Corporate & Commercial BankingBronze,BUSINESS,5/12/2020,SL 20,3/19/2020,54
GPN 13500,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/7/2020,SL 26,12/27/2019,11
GPN 13501,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/20/2019,SL 3,10/1/2018,231
GPN 13502,Active,Country 3,Rank 15,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,3/20/2020,SL 13,7/31/2019,233
GPN 13503,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/26/2020,SL 26,4/13/2020,74
GPN 13504,Active,Country 3,Rank 15,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/15/2020,SL 7,5/7/2020,8
GPN 13505,Active,Country 3,Rank 9,Bronze,Approved,Sector,BCM - Corporate & Commercial Banking,BCM - Corporate & Commercial BankingBronze,BUSINESS,6/25/2020,SL 20,3/23/2020,94
GPN 13506,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/29/2020,SL 20,5/26/2020,3
GPN 13507,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/6/2020,SL 20,11/19/2019,48
GPN 13508,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,4/14/2020,SL 20,3/9/2020,36
GPN 13509,Terminated,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/20/2018,SL 20,6/20/2018,0
GPN 1351,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/1/2020,SL 26,11/26/2019,127
GPN 13510,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/17/2020,SL 19,1/9/2020,39
GPN 13511,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/15/2019,SL 26,4/2/2019,13
GPN 13512,Active,Country 3,Rank 8,Bronze,Approved,Digital age teaming,Transformational leadership,Transformational leadershipBronze,LEADERSHIP,2/17/2020,SL 26,7/3/2019,229
GPN 13513,Active,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/17/2020,SL 15,4/17/2020,30
GPN 13514,Active,Country 3,Rank 1,Bronze,Approved,Transformative leadership,Inclusion and Belonging,Inclusion and BelongingBronze,LEADERSHIP,5/29/2020,SL 15,5/28/2020,1
GPN 13515,Terminated,Country 3,Rank 1,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/24/2019,SL 15,10/2/2018,114
GPN 13516,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/4/2018,SL 20,4/10/2018,24
GPN 13517,Active,Country 3,Rank 3,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/30/2019,SL 9,4/4/2019,26
GPN 13518,Active,Country 3,Rank 9,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/19/2020,SL 26,4/7/2020,73
GPN 13519,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/29/2020,SL 20,3/16/2020,44
GPN 1352,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,6/19/2019,SL 20,6/19/2019,0
GPN 13520,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,5/15/2020,SL 20,5/12/2020,3
GPN 13521,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/20/2020,SL 26,3/21/2020,60
GPN 13522,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/27/2019,SL 20,8/7/2018,293
GPN 13523,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/2/2020,SL 20,4/28/2020,35
GPN 13524,Active,Country 3,Rank 9,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/7/2020,SL 20,4/6/2020,1
GPN 13525,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/15/2020,SL 20,4/11/2020,4
GPN 13526,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/8/2020,SL 20,4/29/2020,9
GPN 13527,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,9/30/2019,SL 26,5/16/2019,137
GPN 13528,Active,Country 3,Rank 15,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/24/2020,SL 7,12/20/2019,126
GPN 13529,Active,Country 3,Rank 9,Bronze,Approved,Sector,WAM - Financial products,WAM - Financial productsBronze,BUSINESS,3/31/2020,SL 20,3/24/2020,7
GPN 1353,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,7/17/2019,SL 20,6/21/2019,26
GPN 13530,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/17/2019,SL 20,4/11/2019,6
GPN 13531,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/7/2019,SL 20,4/23/2019,14
GPN 13532,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/3/2020,SL 20,3/20/2020,14
GPN 13533,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/19/2020,SL 3,5/13/2020,6
GPN 13534,Active,Country 3,Rank 7,Silver,Approved,Analytics,Data integration,Data integrationSilver,TECHNOLOGY,6/6/2018,SL 20,2/16/2018,110
GPN 13535,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/14/2018,SL 20,2/16/2018,26
GPN 13536,Active,Country 3,Rank 7,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/15/2020,SL 20,5/15/2020,31
GPN 13537,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,3/16/2018,SL 20,3/14/2018,2
GPN 13538,Active,Country 3,Rank 7,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,6/6/2018,SL 20,3/14/2018,84
GPN 13539,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/16/2018,SL 20,3/14/2018,2
GPN 1354,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/7/2020,SL 20,5/4/2020,3
GPN 13540,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,3/30/2020,SL 20,11/22/2019,129
GPN 13541,Active,Country 3,Rank 9,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,3/15/2019,SL 20,2/14/2019,29
GPN 13542,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,3/27/2020,SL 20,10/28/2019,151
GPN 13543,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,6/30/2020,SL 26,5/10/2020,51
GPN 13544,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/22/2019,SL 26,2/5/2019,45
GPN 13545,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/14/2020,SL 26,5/6/2019,374
GPN 13546,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/15/2020,SL 20,4/9/2020,6
GPN 13547,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,10/11/2019,SL 20,9/12/2019,29
GPN 13548,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/30/2020,SL 26,11/14/2019,137
GPN 13549,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/19/2020,SL 20,5/12/2020,7
GPN 1355,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,5/12/2020,SL 20,5/9/2020,3
